fecha,nro_casos
2021-11-27,856
2021-11-28,308
2021-11-29,1346
2021-11-30,1128
2021-12-01,1296
2021-12-02,1135
2021-12-03,1173
2021-12-04,925
2021-12-05,276
2021-12-06,1404
2021-12-07,1244
2021-12-08,403
2021-12-09,1270
2021-12-10,1248
2021-12-11,840
2021-12-12,281
2021-12-13,1504
2021-12-14,1278
2021-12-15,1267
2021-12-16,1168
2021-12-17,1103
2021-12-18,935
2021-12-19,292
2021-12-20,1402
2021-12-21,1116
2021-12-22,1055
2021-12-23,944
2021-12-24,431
2021-12-25,137
2021-12-26,201
2021-12-27,1117
2021-12-28,1070
2021-12-29,982
2021-12-30,825
2021-12-31,278
2022-01-01,208
2022-01-02,170
2022-01-03,1015
2022-01-04,1047
2022-01-05,1086
2022-01-06,1002
2022-01-07,1011
2022-01-08,720
2022-01-09,249
2022-01-10,1330
2022-01-11,1084
2022-01-12,997
2022-01-13,938
2022-01-14,1055
2022-01-15,739
2022-01-16,224
2022-01-17,1224
2022-01-18,1038
2022-01-19,1006
2022-01-20,899
2022-01-21,912
2022-01-22,694
2022-01-23,212
2022-01-24,1103
2022-01-25,970
2022-01-26,947
2022-01-27,895
2022-01-28,974
2022-01-29,629
2022-01-30,233
2022-01-31,920
2022-02-01,1232
2022-02-02,1065
2022-02-03,1082
2022-02-04,1144
2022-02-05,805
2022-02-06,243
2022-02-07,1442
2022-02-08,1250
2022-02-09,1403
2022-02-10,1336
2022-02-11,1276
2022-02-12,865
2022-02-13,218
2022-02-14,1479
2022-02-15,1334
2022-02-16,1459
2022-02-17,1236
2022-02-18,1404
2022-02-19,909
2022-02-20,234
2022-02-21,1570
2022-02-22,1463
2022-02-23,1499
2022-02-24,1301
2022-02-25,1347
2022-02-26,879
2022-02-27,255
2022-02-28,1653
2022-03-01,1407
2022-03-02,1402
2022-03-03,1385
2022-03-04,1330
2022-03-05,924
2022-03-06,272
2022-03-07,1611
2022-03-08,1404
2022-03-09,1356
2022-03-10,1427
2022-03-11,1335
2022-03-12,981
2022-03-13,284
2022-03-14,1422
2022-03-15,1453
2022-03-16,1498
2022-03-17,1308
2022-03-18,1411
2022-03-19,939
2022-03-20,334
2022-03-21,1538
2022-03-22,1425
2022-03-23,1310
2022-03-24,1250
2022-03-25,1191
2022-03-26,895
2022-03-27,264
2022-03-28,1368
2022-03-29,1155
2022-03-30,1029
2022-03-31,880
2022-04-01,1246
2022-04-02,909
2022-04-03,264
2022-04-04,1299
2022-04-05,998
2022-04-06,1229
2022-04-07,1307
2022-04-08,1331
2022-04-09,936
2022-04-10,260
2022-04-11,1696
2022-04-12,1443
2022-04-13,1332
2022-04-14,400
2022-04-15,279
2022-04-16,880
2022-04-17,267
2022-04-18,1648
2022-04-19,1501
2022-04-20,1498
2022-04-21,1363
2022-04-22,1453
2022-04-23,998
2022-04-24,266
2022-04-25,1453
2022-04-26,1279
2022-04-27,1128
2022-04-28,1237
2022-04-29,1123
2022-04-30,830
2022-05-01,301
2022-05-02,1074
2022-05-03,1149
2022-05-04,1255
2022-05-05,1132
2022-05-06,981
2022-05-07,723
2022-05-08,202
2022-05-09,1272
2022-05-10,1168
2022-05-11,1262
2022-05-12,1210
2022-05-13,1109
2022-05-14,872
2022-05-15,339
2022-05-16,1525
2022-05-17,1194
2022-05-18,1278
2022-05-19,1200
2022-05-20,1251
2022-05-21,880
2022-05-22,290
2022-05-23,1352
2022-05-24,1226
2022-05-25,1212
2022-05-26,1084
2022-05-27,1013
2022-05-28,806
2022-05-29,248
2022-05-30,1151
2022-05-31,849
2022-06-01,1159
2022-06-02,1070
2022-06-03,1083
2022-06-04,791
2022-06-05,220
2022-06-06,1402
2022-06-07,1171
2022-06-08,1294
2022-06-09,1236
2022-06-10,1188
2022-06-11,830
2022-06-12,218
2022-06-13,1103
2022-06-14,1215
2022-06-15,1216
2022-06-16,1133
2022-06-17,1082
2022-06-18,799
2022-06-19,186
2022-06-20,1315
2022-06-21,1200
2022-06-22,1242
2022-06-23,1004
2022-06-24,855
2022-06-25,836
2022-06-26,281
2022-06-27,1305
2022-06-28,1148
2022-06-29,325
2022-06-30,1171
2022-07-01,1199
2022-07-02,851
2022-07-03,275
2022-07-04,1236
2022-07-05,1122
2022-07-06,1137
2022-07-07,1112
2022-07-08,1222
2022-07-09,853
2022-07-10,278
2022-07-11,1432
2022-07-12,1340
2022-07-13,1259
2022-07-14,1141
2022-07-15,1152
2022-07-16,968
2022-07-17,323
2022-07-18,1518
2022-07-19,1359
2022-07-20,1314
2022-07-21,1287
2022-07-22,1170
2022-07-23,959
2022-07-24,285
2022-07-25,1475
2022-07-26,1155
2022-07-27,1152
2022-07-28,297
2022-07-29,269
2022-07-30,798
2022-07-31,205
2022-08-01,1419
2022-08-02,1141
2022-08-03,1108
2022-08-04,980
2022-08-05,979
2022-08-06,461
2022-08-07,258
2022-08-08,1392
2022-08-09,1231
2022-08-10,1230
2022-08-11,1220
2022-08-12,1199
2022-08-13,932
2022-08-14,290
2022-08-15,1456
2022-08-16,1351
2022-08-17,1288
2022-08-18,1333
2022-08-19,1177
2022-08-20,943
2022-08-21,265
2022-08-22,1542
2022-08-23,1249
2022-08-24,1268
2022-08-25,1254
2022-08-26,1153
2022-08-27,907
2022-08-28,327
2022-08-29,936
2022-08-30,240
2022-08-31,922
2022-09-01,1365
2022-09-02,1278
2022-09-03,948
2022-09-04,288
2022-09-05,1618
2022-09-06,1325
2022-09-07,1342
2022-09-08,1290
2022-09-09,1309
2022-09-10,990
2022-09-11,358
2022-09-12,1680
2022-09-13,1420
2022-09-14,1352
2022-09-15,1329
2022-09-16,1405
2022-09-17,981
2022-09-18,303
2022-09-19,1737
2022-09-20,1445
2022-09-21,1337
2022-09-22,1286
2022-09-23,1231
2022-09-24,915
2022-09-25,369
2022-09-26,1623
2022-09-27,1385
2022-09-28,1211
2022-09-29,1101
2022-09-30,1055
2022-10-01,992
2022-10-02,199
2022-10-03,1397
2022-10-04,1191
2022-10-05,1212
2022-10-06,1114
2022-10-07,1060
2022-10-08,424
2022-10-09,300
2022-10-10,1729
2022-10-11,1429
2022-10-12,1369
2022-10-13,1207
2022-10-14,1380
2022-10-15,1072
2022-10-16,339
2022-10-17,1664
2022-10-18,1497
2022-10-19,1396
2022-10-20,1458
2022-10-21,1405
2022-10-22,1160
2022-10-23,352
2022-10-24,1630
2022-10-25,1380
2022-10-26,1524
2022-10-27,1194
2022-10-28,1234
2022-10-29,953
2022-10-30,386
2022-10-31,888
2022-11-01,467
2022-11-02,1206
2022-11-03,1319
2022-11-04,1222
2022-11-05,1064
2022-11-06,272
2022-11-07,1705
2022-11-08,1468
2022-11-09,1375
2022-11-10,1451
2022-11-11,1499
2022-11-12,1085
2022-11-13,380
2022-11-14,1751
2022-11-15,1559
2022-11-16,1479
2022-11-17,1426
2022-11-18,1401
2022-11-19,1018
2022-11-20,282
2022-11-21,1790
2022-11-22,1448
2022-11-23,1332
2022-11-24,1363
2022-11-25,1425
2022-11-26,989
2022-11-27,378
2022-11-28,1565
2022-11-29,1364
2022-11-30,1229
2022-12-01,1349
2022-12-02,1116
2022-12-03,931
2022-12-04,250
2022-12-05,1464
2022-12-06,1314
2022-12-07,1249
2022-12-08,374
2022-12-09,544
2022-12-10,1067
2022-12-11,266
2022-12-12,1731
2022-12-13,1313
2022-12-14,1350
2022-12-15,1181
2022-12-16,1167
2022-12-17,921
2022-12-18,307
2022-12-19,1527
2022-12-20,1235
2022-12-21,1312
2022-12-22,1209
2022-12-23,1001
2022-12-24,491
2022-12-25,148
2022-12-26,1045
2022-12-27,1194
2022-12-28,1234
2022-12-29,1048
2022-12-30,801
2022-12-31,303
2023-01-01,265
2023-01-02,975
2023-01-03,1192
2023-01-04,1196
2023-01-05,1232
2023-01-06,1098
2023-01-07,897
2023-01-08,231
2023-01-09,1542
2023-01-10,1356
2023-01-11,1317
2023-01-12,1297
2023-01-13,1304
2023-01-14,956
2023-01-15,261
2023-01-16,1706
2023-01-17,1396
2023-01-18,1366
2023-01-19,1241
2023-01-20,1251
2023-01-21,1009
2023-01-22,273
2023-01-23,1726
2023-01-24,1447
2023-01-25,1273
2023-01-26,1334
2023-01-27,1328
2023-01-28,998
2023-01-29,234
2023-01-30,1449
2023-01-31,1027
2023-02-01,1417
2023-02-02,1324
2023-02-03,1272
2023-02-04,986
2023-02-05,266
2023-02-06,1697
2023-02-07,1495
2023-02-08,1403
2023-02-09,1337
2023-02-10,1508
2023-02-11,947
2023-02-12,314
2023-02-13,1658
2023-02-14,1171
2023-02-15,1320
2023-02-16,1417
2023-02-17,1374
2023-02-18,959
2023-02-19,256
2023-02-20,1671
2023-02-21,1355
2023-02-22,1319
2023-02-23,1391
2023-02-24,1344
2023-02-25,943
2023-02-26,318
2023-02-27,1568
2023-02-28,1588
2023-03-01,1532
2023-03-02,1346
2023-03-03,1395
2023-03-04,886
2023-03-05,275
2023-03-06,1565
2023-03-07,1403
2023-03-08,1354
2023-03-09,1267
2023-03-10,1224
2023-03-11,882
2023-03-12,261
2023-03-13,1560
2023-03-14,1348
2023-03-15,1288
2023-03-16,1307
2023-03-17,1349
2023-03-18,1006
2023-03-19,330
2023-03-20,1487
2023-03-21,1407
2023-03-22,1339
2023-03-23,1263
2023-03-24,1267
2023-03-25,990
2023-03-26,311
2023-03-27,1509
2023-03-28,1413
2023-03-29,1134
2023-03-30,1087
2023-03-31,799
2023-04-01,1042
2023-04-02,248
2023-04-03,1461
2023-04-04,1219
2023-04-05,1259
2023-04-06,383
2023-04-07,350
2023-04-08,971
2023-04-09,296
2023-04-10,1725
2023-04-11,1415
2023-04-12,1334
2023-04-13,1380
2023-04-14,1314
2023-04-15,1056
2023-04-16,349
2023-04-17,1639
2023-04-18,1355
2023-04-19,1350
2023-04-20,1397
2023-04-21,1309
2023-04-22,1085
2023-04-23,333
2023-04-24,1561
2023-04-25,1346
2023-04-26,1165
2023-04-27,1105
2023-04-28,1234
2023-04-29,860
2023-04-30,291
2023-05-01,402
2023-05-02,1398
2023-05-03,1267
2023-05-04,1152
2023-05-05,1218
2023-05-06,882
2023-05-07,265
2023-05-08,1350
2023-05-09,1127
2023-05-10,1247
2023-05-11,1039
2023-05-12,935
2023-05-13,809
2023-05-14,194
2023-05-15,1374
2023-05-16,1314
2023-05-17,1332
2023-05-18,1271
2023-05-19,1249
2023-05-20,1031
2023-05-21,338
2023-05-22,1450
2023-05-23,1189
2023-05-24,1205
2023-05-25,1160
2023-05-26,1142
2023-05-27,840
2023-05-28,284
2023-05-29,1290
2023-05-30,1033
2023-05-31,741
2023-06-01,1213
2023-06-02,1052
2023-06-03,875
2023-06-04,249
2023-06-05,1392
2023-06-06,1197
2023-06-07,990
2023-06-08,1203
2023-06-09,1155
2023-06-10,913
2023-06-11,243
2023-06-12,1428
2023-06-13,1212
2023-06-14,1177
2023-06-15,1080
2023-06-16,1070
2023-06-17,867
2023-06-18,265
2023-06-19,1334
2023-06-20,1286
2023-06-21,1173
2023-06-22,1175
2023-06-23,1091
2023-06-24,865
2023-06-25,264
2023-06-26,1464
2023-06-27,1306
2023-06-28,1239
2023-06-29,377
2023-06-30,1013
2023-07-01,1028
2023-07-02,255
2023-07-03,1517
2023-07-04,1216
2023-07-05,1275
2023-07-06,1158
2023-07-07,1220
2023-07-08,961
2023-07-09,308
2023-07-10,1551
2023-07-11,1338
2023-07-12,1287
2023-07-13,1255
2023-07-14,1277
2023-07-15,869
2023-07-16,276
2023-07-17,1572
2023-07-18,1294
2023-07-19,1189
2023-07-20,1130
2023-07-21,1080
2023-07-22,974
2023-07-23,274
2023-07-24,1387
2023-07-25,1171
2023-07-26,1083
2023-07-27,1025
2023-07-28,305
2023-07-29,276
2023-07-30,255
2023-07-31,1297
2023-08-01,1359
2023-08-02,1142
2023-08-03,1138
2023-08-04,1014
2023-08-05,859
2023-08-06,287
2023-08-07,1445
2023-08-08,1324
2023-08-09,1184
2023-08-10,1280
2023-08-11,1115
2023-08-12,864
2023-08-13,300
2023-08-14,1371
2023-08-15,1188
2023-08-16,1316
2023-08-17,1267
2023-08-18,1180
2023-08-19,946
2023-08-20,317
2023-08-21,1382
2023-08-22,1346
2023-08-23,1174
2023-08-24,1123
2023-08-25,1073
2023-08-26,853
2023-08-27,264
2023-08-28,1406
2023-08-29,953
2023-08-30,247
2023-08-31,865
2023-09-01,1148
2023-09-02,822
2023-09-03,264
2023-09-04,1433
2023-09-05,1272
2023-09-06,1210
2023-09-07,1131
2023-09-08,1133
2023-09-09,967
2023-09-10,294
2023-09-11,1574
2023-09-12,1378
2023-09-13,1274
2023-09-14,1149
2023-09-15,1219
2023-09-16,926
2023-09-17,275
2023-09-18,1680
2023-09-19,1212
2023-09-20,1182
2023-09-21,1130
2023-09-22,1075
2023-09-23,880
2023-09-24,290
2023-09-25,1429
2023-09-26,1250
2023-09-27,1134
2023-09-28,983
2023-09-29,972
2023-09-30,816
2023-10-01,378
2023-10-02,1295
2023-10-03,1106
2023-10-04,1125
2023-10-05,1051
2023-10-06,992
2023-10-07,829
2023-10-08,256
2023-10-09,1171
2023-10-10,1173
2023-10-11,1135
2023-10-12,1089
2023-10-13,1104
2023-10-14,883
2023-10-15,259
2023-10-16,1347
2023-10-17,1158
2023-10-18,1256
2023-10-19,1209
2023-10-20,1169
2023-10-21,912
2023-10-22,311
2023-10-23,1489
2023-10-24,1076
2023-10-25,1177
2023-10-26,1129
2023-10-27,1027
2023-10-28,850
2023-10-29,275
2023-10-30,1251
2023-10-31,773
2023-11-01,360
2023-11-02,1077
2023-11-03,1180
2023-11-04,900
2023-11-05,295
2023-11-06,1467
